nr	length	ratio
894	93750	2.51731916
895	93865	2.51831084
896	93897	2.51795339
897	94009	2.51872790
898	94089	2.51918391
899	94186	2.51975708
900	94234	2.51996256
901	94297	2.52029935
902	94404	2.52059915
903	94471	2.52050372
904	94594	2.52055744
905	94683	2.52030984
906	94851	2.52095681
907	94966	2.52106507
908	95060	2.52088361
909	95098	2.52115589
910	95291	2.51992596
911	95464	2.51970333
912	95777	2.51985056
913	95909	2.52093573
914	95970	2.52114748
915	96053	2.52087762
916	96076	2.52088581
917	96120	2.52051921
918	96189	2.52021380
919	96230	2.51983555
920	96321	2.51990896
921	96585	2.52173572
922	96662	2.52183668
923	96937	2.52197102
924	97138	2.52254077
925	97319	2.52324406
926	97405	2.52338022
927	97573	2.52400538
928	97717	2.52433480
929	97847	2.52482324
930	98031	2.52514038
931	98093	2.52511133
932	98125	2.52522003
933	98254	2.52561499
934	98308	2.52615891
935	98401	2.52614689
936	98572	2.52638593
937	98671	2.52672147
938	98796	2.52688117
939	98937	2.52699734
940	99038	2.52712427
941	99163	2.52651023
942	99313	2.52621270
943	99463	2.52784202
944	99645	2.52861167
945	99664	2.52858049
946	99693	2.52841817
947	99855	2.52848678
948	99967	2.52856962
949	100141	2.52906859
950	100229	2.52975770
951	100282	2.52988219
952	100327	2.52974104
953	100418	2.52929323
954	100512	2.52962199
955	100584	2.52926976
956	100657	2.52957881
957	100731	2.52953141
958	100827	2.53048061
959	100967	2.53081840
960	101092	2.53179393
961	101163	2.53211354
962	101204	2.53187231
963	101267	2.53199150
964	101395	2.53208970
965	101604	2.53124066
966	101690	2.53130212
967	101733	2.53117536
968	101853	2.53076082
969	101883	2.53068879
970	102002	2.53050187
971	102049	2.53072612
972	102077	2.53041646
973	102125	2.53047723
974	102186	2.53136147
975	102284	2.53134358
976	102375	2.53109007
977	102484	2.53109410
978	102599	2.53124615
979	102736	2.53156572
980	102780	2.53183890
981	102854	2.53179077
982	102889	2.53196673
983	103067	2.53273210
984	103159	2.53312543
985	103210	2.53344461
986	103221	2.53346587
987	103254	2.53340530
988	103292	2.53321888
989	103416	2.53309166
990	103479	2.53289764
991	103651	2.53258240
992	103716	2.53212891
993	103901	2.53293515
994	103984	2.53310597
995	104079	2.53375368
996	104201	2.53234665
997	104275	2.53236030
998	104321	2.53261635
999	104349	2.53255831
1000	104413	2.53294357
1001	104513	2.53309581
1002	104600	2.53317834
1003	104644	2.53289442
1004	104690	2.53339464
1005	104723	2.53339623
1006	104821	2.53374426
1007	104928	2.53461520
1008	105028	2.53488765
1009	105054	2.53471988
1010	105164	2.53443871
1011	105224	2.53441881
1012	105288	2.53443420
1013	105351	2.53436455
1014	105392	2.53425349
1015	105499	2.53438874
1016	105606	2.53501044
1017	105681	2.53455967
1018	105839	2.53470160
1019	105947	2.53528440
1020	106030	2.53490485
1021	106119	2.53533544
1022	106145	2.53522977
1023	106255	2.53495085
1024	106394	2.53651210
1025	106504	2.53671549
1026	106624	2.53715645
1027	106670	2.53704364
1028	106734	2.53723822
1029	106785	2.53736486
1030	106908	2.53823690
1031	107029	2.53869874
1032	107069	2.53898506
1033	107105	2.53875510
1034	107170	2.53855082
1035	107226	2.53891507
1036	107505	2.53848878
1037	107609	2.53806783
1038	107703	2.53771118
1039	107803	2.53743674
1040	107916	2.53770723
1041	108019	2.53786152
1042	108145	2.53772146
1043	108284	2.53776747
1044	108316	2.53780371
1045	108358	2.53789582
1046	108468	2.53785681
1047	108522	2.53787330
1048	108658	2.53778961
1049	108756	2.53776689
1050	108849	2.53792348
1051	108913	2.53811377
1052	109003	2.53849558
1053	109057	2.53904358
1054	109090	2.53922071
1055	109138	2.53927408
1056	109204	2.53974603
1057	109271	2.54024084
1058	109433	2.54028645
1059	109566	2.54054305
1060	109676	2.54109034
1061	109796	2.54075068
1062	109873	2.54106247
1063	109945	2.54161080
1064	110106	2.54198315
1065	110180	2.54240026
1066	110241	2.54257576
1067	110398	2.54332251
1068	110474	2.54366697
1069	110618	2.54411224
1070	110701	2.54455810
1071	110776	2.54481966
1072	110853	2.54536061
1073	110891	2.54541490
1074	110998	2.54611767
1075	111156	2.54606258
1076	111249	2.54603502
1077	111348	2.54655232
1078	111424	2.54677607
1079	111498	2.54683752
1080	111684	2.54782708
1081	111728	2.54772655
1082	111751	2.54772815
1083	111804	2.54754255
1084	111924	2.54830263
1085	112004	2.54815152
1086	112085	2.54825509
1087	112173	2.54874918
1088	112279	2.54913045
1089	112388	2.54934785
1090	112492	2.54991386
1091	112608	2.54942269
1092	112686	2.54939933
1093	112738	2.54971051
1094	112810	2.54989715
1095	112887	2.55031177
1096	112942	2.55034436
1097	113033	2.55095915
1098	113145	2.55141388
1099	113184	2.55154535
1100	113264	2.55156567
1101	113348	2.55144626
1102	113516	2.55103600
1103	113597	2.55119366
1104	113636	2.55103828
1105	113832	2.55091431
1106	113972	2.55079340
1107	114092	2.55113814
1108	114179	2.55131500
1109	114214	2.55124196
1110	114292	2.55138852
1111	114322	2.55137475
1112	114365	2.55159412
1113	114425	2.55150961
1114	114493	2.55131919
1115	114574	2.55119127
1116	114653	2.55152999
1117	114769	2.55127265
1118	114847	2.55147516
1119	114873	2.55120261
1120	114926	2.55130311
1121	115003	2.55165298
1122	115214	2.55287940
1123	115333	2.55314015
1124	115438	2.55348611
1125	115532	2.55364484
1126	115620	2.55282506
1127	115777	2.55290953
1128	115897	2.55268490
1129	115996	2.55295361
1130	116051	2.55259106
1131	116097	2.55253611
1132	116172	2.55210896
1133	116279	2.55137685
1134	116369	2.55038573
1135	116444	2.54973833
1136	116653	2.54873386
1137	116698	2.54860338
1138	116770	2.54872858
1139	117042	2.54926817
1140	117276	2.54737391
1141	117364	2.54718292
1142	117422	2.54711497
1143	117475	2.54677304
1144	117535	2.54707986
1145	117646	2.54749789
1146	117728	2.54767366
1147	117765	2.54764738
1148	117908	2.54859070
1149	117937	2.54866664
1150	118055	2.54912334
1151	118089	2.54908691
1152	118132	2.54913469
1153	118229	2.54908260
1154	118352	2.54920628
1155	118489	2.54908246
1156	118603	2.54950559
1157	118637	2.54946921
1158	118679	2.54949517
1159	118757	2.54936350
1160	118906	2.54922391
1161	119029	2.54901919
1162	119193	2.54876510
1163	119351	2.54887347
1164	119411	2.54917490
1165	119530	2.54910324
1166	119586	2.54915587
1167	119605	2.54901752
1168	119737	2.54916864
1169	119792	2.54909137
1170	119882	2.54932483
1171	120015	2.54982153
1172	120073	2.54997027
1173	120149	2.55001380
1174	120230	2.55010923
1175	120341	2.54965148
1176	120469	2.54993227
1177	120532	2.54991644
1178	120596	2.55029924
1179	120751	2.55001795
1180	120835	2.54990715
1181	120958	2.54927500
1182	121003	2.54963231
1183	121077	2.54936517
1184	121214	2.54929755
1185	121337	2.54920375
1186	121445	2.54895582
1187	121615	2.54926005
1188	121647	2.54918273
1189	121758	2.54894490
1190	121843	2.54880345
1191	121889	2.54859282
1192	121918	2.54850645
1193	122041	2.54883983
1194	122108	2.54848270
1195	122222	2.54905314
1196	122336	2.54887907
1197	122487	2.54910408
1198	122605	2.54954355
1199	122721	2.54967589
1200	122871	2.54934954
1201	122991	2.54998756
1202	123092	2.55001968
1203	123234	2.55037252
1204	123275	2.55042930
1205	123308	2.55005687
1206	123384	2.54983571
1207	123432	2.54972113
1208	123566	2.54969771
1209	123606	2.54952353
1210	123627	2.54932569
1211	123677	2.54904264
1212	123822	2.54856437
1213	123925	2.54884821
